Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
Public Constructor,"com.lprevidente.ddd_example.team.application.command.RemoveUserFromTeam",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,1,,,0,,,0.00,1
Package,"com.lprevidente.ddd_example.team.application.dto",0,0,0,0,0,,,,,,,,,3,0,0,,3,,5,0,5,,5,0,0,0,,28,11,17,14,0,0,,11,14,14,0,,0,,0,,,0.00,0
Public Interface,"com.lprevidente.ddd_example.team.application.dto.MemberDto",0,0,0,0,0,,,,,1,1,1,0,,0,0,,,,2,0,2,3,2,0,0,0,,6,2,4,3,0,0,,2,3,3,0,,0,1,0,0,0,0.00,0
Abstract Method,"com.lprevidente.ddd_example.team.application.dto.MemberDto.getFirstName",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,0,0,,,0,,,0.00,0
Abstract Method,"com.lprevidente.ddd_example.team.application.dto.MemberDto.getLastName",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,0,0,,,0,,,0.00,0
Public Interface,"com.lprevidente.ddd_example.team.application.dto.TeamInfoDto",0,0,0,0,0,,,,,0,2,2,0,,0,0,,,,2,0,2,2,2,0,0,0,,6,2,4,3,0,0,,2,3,3,0,,0,0,0,0,0,0.00,0
Abstract Method,"com.lprevidente.ddd_example.team.application.dto.TeamInfoDto.getId",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,0,0,,,0,,,0.00,0
Abstract Method,"com.lprevidente.ddd_example.team.application.dto.TeamInfoDto.getName",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,0,0,,,0,,,0.00,0
Public Interface,"com.lprevidente.ddd_example.team.application.dto.TeamMemberDto",0,0,0,0,0,,,,,0,1,1,0,,0,0,,,,1,0,1,1,1,0,0,0,,4,1,3,2,0,0,,1,2,2,0,,0,0,0,0,0,0.00,0
Abstract Method,"com.lprevidente.ddd_example.team.application.dto.TeamMemberDto.getId",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,0,0,,,0,,,0.00,0
Package,"com.lprevidente.ddd_example.team.application.handler",8,1,7,1,1,,,,,,,,,4,0,0,,4,,4,6,4,,0,0,0,4,,109,17,89,65,23,4,,54,62,51,18,,1,,0,,,0.04,6
Class,"com.lprevidente.ddd_example.team.application.handler.AddUserToTeamHandler",19,4,12,3,1,,,,,2,13,13,0,,0,0,,,,1,3,1,1,0,0,0,1,,28,6,19,11,9,3,,11,13,8,8,,1,1,0,0,0,0.16,1
Public Method,"com.lprevidente.ddd_example.team.application.handler.AddUserToTeamHandler.handle",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,4,19,4,12,5,9,3,12,8,9,4,8,1,,,0,,,0.25,1
Class,"com.lprevidente.ddd_example.team.application.handler.CreateTeamHandler",6,0,6,0,1,,,,,2,7,7,0,,0,0,,,,1,1,1,1,0,0,0,1,,12,1,11,7,3,0,,4,6,4,3,,1,1,0,0,0,0.00,1
Public Method,"com.lprevidente.ddd_example.team.application.handler.CreateTeamHandler.handle",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,2,6,0,6,3,3,0,5,3,4,2,3,1,,,0,,,0.00,1
Class,"com.lprevidente.ddd_example.team.application.handler.DeleteTeamHandler",9,0,9,1,1,,,,,2,7,7,0,,0,0,,,,1,1,1,1,0,0,0,1,,15,1,14,8,5,1,,4,6,4,3,,1,1,0,0,0,0.07,2
Public Method,"com.lprevidente.ddd_example.team.application.handler.DeleteTeamHandler.handle",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,9,0,9,4,5,1,5,3,4,2,3,1,,,0,,,0.11,2
Lambda Method,"com.lprevidente.ddd_example.team.application.handler.DeleteTeamHandler.handle.(lambda_expr_1)",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,3,0,0,0,0,1,,,0,,,0.00,1
Class,"com.lprevidente.ddd_example.team.application.handler.RemoveUserFromTeamHandler",10,0,10,0,1,,,,,2,8,8,0,,0,0,,,,1,1,1,1,0,0,0,1,,16,1,15,9,6,0,,5,7,5,4,,1,1,0,0,0,0.00,2
Public Method,"com.lprevidente.ddd_example.team.application.handler.RemoveUserFromTeamHandler.handle",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,10,0,10,5,6,0,7,4,5,3,4,1,,,0,,,0.00,2
Lambda Method,"com.lprevidente.ddd_example.team.application.handler.RemoveUserFromTeamHandler.handle.(lambda_expr_1)",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,2,0,0,0,0,1,,,0,,,0.00,1
Package,"com.lprevidente.ddd_example.team.domain",4,0,4,0,1,,,,,,,,,9,2,0,,9,,28,9,30,,10,3,1,16,,297,57,227,147,65,17,,119,159,110,63,,3,,1,,,0.07,34
Public Class,"com.lprevidente.ddd_example.team.domain.Team",4,0,3,1,1,,,,,1,12,12,0,,1,0,,,,6,3,7,7,0,1,1,5,,49,8,35,19,11,7,,12,21,11,12,,2,2,1,86,71,0.20,8
Public Constructor,"com.lprevidente.ddd_example.team.domain.Team.Team",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,1,4,2,3,1,2,1,,,0,,,0.25,1
Protected Constructor,"com.lprevidente.ddd_example.team.domain.Team.Team",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,1,1,0,1,,,0,,,0.00,1
Public Static Method,"com.lprevidente.ddd_example.team.domain.Team.create",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,6,4,0,3,1,1,1,2,1,2,1,1,1,,,0,,,0.33,1
Public Final Method,"com.lprevidente.ddd_example.team.domain.Team.equals",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,2,5,0,5,2,2,0,2,2,4,1,3,2,,,1,,,0.00,2
Public Method,"com.lprevidente.ddd_example.team.domain.Team.hashCode",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,2,1,2,1,1,1,,,0,,,0.00,1
Public Method,"com.lprevidente.ddd_example.team.domain.Team.renameTo",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,4,0,3,1,1,1,1,1,2,1,1,1,,,0,,,0.33,1
Private Method,"com.lprevidente.ddd_example.team.domain.Team.setName",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,5,0,4,1,2,1,3,2,3,1,2,1,,,0,,,0.25,1
Public Record,"com.lprevidente.ddd_example.team.domain.TeamId",3,0,3,0,1,,,,,3,4,4,0,,0,0,,,,2,1,2,3,0,0,0,2,,10,2,8,3,2,0,,2,5,3,2,,1,1,0,100,100,0.00,2
