metric,mean_main,mean_refac,median_main,median_refac,std_main,std_refac,pct_delta,p_wilcoxon,n_classes
AvgCyclomatic,1.0,1.0303030303030303,1.0,1.0,0.4330127018922193,0.4666937221594376,3.0303030303030276,0.7388826803635273,33
SumCyclomatic,2.8484848484848486,2.878787878787879,2.0,2.0,2.4889909115092723,2.4718107704370262,1.0638297872340414,0.7388826803635273,33
MaxNesting,0.09090909090909091,0.12121212121212122,0.0,0.0,0.2919371040605711,0.33143398263980844,33.33333333333333,0.7388826803635273,33
PercentLackOfCohesion,5.545454545454546,5.545454545454546,0.0,0.0,15.384836099815358,15.384836099815358,0.0,1.0,33
CountClassCoupled,8.090909090909092,8.212121212121213,7.0,7.0,4.133428029218275,4.203849246208584,1.4981273408239686,0.5167072208623498,33
MaxInheritanceTree,1.121212121212121,1.121212121212121,1.0,1.0,0.4151487502672805,0.4151487502672805,0.0,1.0,33
CountDeclMethodAll,2.606060606060606,2.606060606060606,2.0,2.0,2.276776695508833,2.276776695508833,0.0,1.0,33
CountDeclMethod,2.4545454545454546,2.4545454545454546,1.0,1.0,2.2092265203418635,2.2092265203418635,0.0,1.0,33
PercentInherited,2.777777777777778,2.777777777777778,0.0,0.0,15.214515486254616,15.214515486254616,0.0,,33
CountLineCode,42.09090909090909,42.21212121212121,21.0,21.0,53.07857597254025,53.019311090251335,0.28797696184304383,0.7388826803635273,33
RatioCommentToCode,0.020606060606060607,0.033030303030303035,0.0,0.0,0.03061243557969885,0.05479991152392769,60.29411764705884,0.5167176518574351,33
